quantized_duration,count,mean,std,min,25%,50%,75%,max
0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
0.1,30.0,1.2333333333333334,0.5040069329937308,0.0,1.0,1.0,1.75,2.0
0.2,101.0,1.504950495049505,0.8321509764007684,0.0,1.0,1.0,2.0,5.0
0.3,427.0,1.800936768149883,0.8559096214144962,0.0,1.0,2.0,2.0,5.0
0.4,886.0,2.401805869074492,0.907568372615069,0.0,2.0,2.0,3.0,6.0
0.5,2016.0,2.8402777777777777,0.8113859247183117,0.0,2.0,3.0,3.0,8.0
0.6,3115.0,3.2751203852327446,0.8937127551478974,0.0,3.0,3.0,4.0,8.0
0.7,4826.0,3.7714463323663487,0.9324218068148402,0.0,3.0,4.0,4.0,13.0
0.8,6469.0,4.33900139125058,1.0119546676505005,0.0,4.0,4.0,5.0,11.0
0.9,7736.0,4.960961737331955,1.068210838231793,0.0,4.0,5.0,6.0,12.0
1.0,8708.0,5.499425815342214,1.1232222598328958,1.0,5.0,5.0,6.0,14.0
1.1,9605.0,6.053305570015617,1.286471575978621,1.0,5.0,6.0,7.0,52.0
1.2,9889.0,6.582667610476287,1.2378319251998864,1.0,6.0,7.0,7.0,15.0
1.3,10160.0,7.143011811023622,1.3329921904495377,1.0,6.0,7.0,8.0,15.0
1.4,10293.0,7.645292917516759,1.399571183905924,1.0,7.0,8.0,9.0,15.0
1.5,10155.0,8.208074839980306,1.4733312358000978,0.0,7.0,8.0,9.0,18.0
1.6,10291.0,8.718103196968224,1.534609391313364,0.0,8.0,9.0,10.0,15.0
1.7,10138.0,9.237620832511343,1.5925795737034636,1.0,8.0,9.0,10.0,17.0
1.8,9941.0,9.706769942661705,1.6852488899901894,1.0,9.0,10.0,11.0,17.0
1.9,10161.0,10.23196535774038,1.7272781844158316,1.0,9.0,10.0,11.0,21.0
2.0,9892.0,10.722907399919126,1.8296552064307088,2.0,10.0,11.0,12.0,20.0
2.1,9964.0,11.236852669610599,1.9005967910558867,2.0,10.0,11.0,12.0,22.0
2.2,9658.0,11.750569476082005,1.9572981471539241,2.0,11.0,12.0,13.0,26.0
2.3,9517.0,12.271829357990963,2.029515744790361,2.0,11.0,12.0,14.0,29.0
2.4,9247.0,12.76003028009084,2.11610092039371,1.0,12.0,13.0,14.0,21.0
2.5,9121.0,13.318495778971604,2.135995026823531,1.0,12.0,13.0,15.0,22.0
2.6,8724.0,13.807427785419533,2.205130872382911,0.0,13.0,14.0,15.0,22.0
2.7,8405.0,14.355978584176086,2.2659585852062083,2.0,13.0,14.0,16.0,22.0
2.8,8159.0,14.827307268047555,2.3924699007759793,1.0,13.5,15.0,16.0,23.0
2.9,7794.0,15.392096484475237,2.401605422011277,1.0,14.0,15.0,17.0,24.0
3.0,7161.0,15.811199553135037,2.4551491266429553,2.0,14.0,16.0,17.0,35.0
3.1,7018.0,16.339840410373327,2.5446414907711516,2.0,15.0,16.0,18.0,33.0
3.2,6512.0,16.814957002457003,2.6486818932173866,2.0,15.0,17.0,18.0,26.0
3.3,6167.0,17.348467650397275,2.707318292198661,2.0,16.0,17.0,19.0,27.0
3.4,5820.0,17.83058419243986,2.804047721594228,3.0,16.0,18.0,20.0,35.0
3.5,5532.0,18.26355748373102,2.871871614786612,1.0,17.0,18.0,20.0,28.0
