text,scene
"Must be some kind of mistake... Company 1st SERGEANT JOHN ROY, also late 30s, sits behind his desk, holding Nantz' file. Smiles.",1
"I got paperwork here, with your signature, says you're retiring.",1
"No mistake, John.",1
"My ass. You got a box full a', medals, file full a' commendations.",1
"Hell, everything but the Good Conduct.",1
They can take the Good Conduct Medal and shove it up their...,1
"See, that's what I'm talking about, Mike. You're a marine! Nantzsmiles back now.",1
"I appreciate it, John. You know that. But, I been to too many funerals. Had to visit too many moms and dads, tell 'em about what happened to their sons...",1
Look. You're on that training assignment right now. Why don't you just ride it out for a month or two. See how you feel...,1
"I did my twenty. I'm done. Roy takes this in, nods. He stands, holds his hand out.",1
You're gonna miss it. Nantz shakes.,1
Wanna bet?,1
I don't see it...,1
"I'm telling you, it's in the trees.",1
Screw it. I'm gonna launch another one...,1
That's more like it.,2
Sweet.,2
Don't encourage him. Correggio's freakin' ego's big enough already.,2
"Let an expert show you how it's done, bro.",2
Mother fu...,2
Foot mobiles. 3 O'clock.,2
Told you they'd come!,2
"That dog'll hunt! Damn, Daktari, you can play!",3
"We have courses in Nigeria, Imlay.",3
"Well, how would I know? I mean, it's an American game.",3
"Actually, Imlay, it's Scottish.",3
"Lenihan, you as good with an M-16 as you are with your mouth?",3
Kerns. Lay off him.,3
What? Just wanna make sure the rookie won't fold under fire.,3
"Relax, dude.",3
My buddy's jumpy 'cause he got an assfull a' shrapnel our last tour.,3
I'm jumpy? You're crawling up your own ass 'cause we train with Sgt. Nantz tomorrow.,3
"If this is the officer's course, what happens if they catch you out here?",3
"We can handle it, baby. We're experts at night maneuvers.",3
So you're from where again?,3
"Nigeria. Adukwu's our corpsman. Like a medic. Saved Kerns' ass. Daktari, tell her about Nigeria.",3
Adukwu's a green card marine... And Lenihan here  He's just green. Mom signed so he could join at 17. I'm looking after him since he don't know his ass from a hot rock.,3
You're doing a good job.,3
Yeah. We always take the new meat out here to christen 'em...,3
"Hey, barfy. Grab your beer. toast.",3
To Lenihan. Who gets his first taste a' those hills tomorrow.,3
"Good luck, rookie.",3
MPs!,3
"Experts, huh?",3
".what appears to be an unprecedented meteor shower, falling off the Falkland Islands.",4
What are you doing up so early?,4
Lieutenant. I still have to get used to that.,4
"Yeah, lot of things we gotta get used to.",4
This dazzling display is visible from Argentina to Southern Chile.,4
Call me later.,5
I'll call you later.,5
Heard Nantz put in his papers. He's out.,6
Good. Wish he done it years ago.,6
"Goddamn it, Imlay, you gonna wipe his ass for him, too? Every man carries his weight!",6
"Just quit, Lenihan. Do us all a favor. 'Cause the squad's only as strong as the weakest man.,..",6
And right now you're getting us all killed. You hear?,6
"You think you're helping him, Imlay!? You think you're making him stronger?!",6
"Stay on the goddamn ground, Imlay! You've just been gut-shot. Your buddy's down, bleeding to death, Lenihan. LZ's at the top of this hill. You gonna let this man die in the dirt on some stinking hill? Or are you marine enough to save him?!",6
"I'm gonna save him, sir!",6
"Come on, goddamnit! It's a hot LZ! The chopper's gotta move! They're gonna leave you BOTH to die!!!",6
I can't.,6
Don't you ever tell me you can't!,6
"He's injured, Sergeant.",6
He's not injured. He twisted his goddamn ankle.,6
"We are marines. ""Can't"" is not the code we live by. ""Can't"" gets marines killed. Do things the right way, the marine way, maybe you get to come home... Maybe your buddy gets to come home.",6
"Dying's easy, ladies. Everything else takes balls.",6
Adukwu. Run a bag of saline into Lenihan and tape that ankle. We start back in ten minutes.,6
".meteors are falling off the coasts of California, Ireland, India, in the Bay of Bengal  all less than ten miles from land...",7
"Man, I thought Lenihan was gonna wash out today.",7
"Hey, I remember carrying your fat ass up that hill hung over as shit. Newbie gets no sympathy from me.",7
"For three hundred more, she said we could have sprays of lilies. I know it's a lot, but it'd be so beautiful. What d'you think, baby?",7
"Well, I think it's a no-brainer. You're only getting married once! What, are you gonna worry about three hundred bucks?",7
"Of course, baby. Whatever you want",7
"Dude, what are you doing?",7
Busting your balls.,7
Tomorrow we shop for cake.,7
I love cake.,7
Still not sleeping... And the nightmares?,8
"No. I mean, sometimes. But it's no big deal.",8
"You're not drinking, right, private? That's just a crutch...",8
"Alcohol? No, sir. Definitely not.",8
So... What's my status? Am I cleared for combat? I feel good.,8
Let's meet again next week.,8
I don't know why they always have to give us shit. It's not fair.,9
"Question is, why does everybody think life's supposed to be fair? Why do bad guys want to kill us? Why can't I have a nipple ring? Why is it the more power we get, the more we want? Nothing's fair, Simmons.",9
