text,scene
"But why here, my Lord? It seems so... inhospitable.",6
"How fastidious you've become, Wormtail. As recall, only recently you called the nearest gutterpipe home. Could it be that the task of nursing me has become wearisome for you?",6
"No, my Lord! only meant",6
have my reasons for coming here. Thirteen years of reasons.,6
Perhaps if we were to do it without the boy...,6
Ho. The boy is everything.,6
"Nagini has interesting news, Wormtail. According to her, there is an old Huggle standing Just outside this room.",6
"Where are your manners, Wormtail? Step aside so can give our guest a proper greeting...",6
"Having a bit of a lie-in, are we?",8
Hermione. When'd you get here?,8
Just now. You?,8
Last night.,8
Bloody hell!,8
"Oh, honestly. Cimon. Get yourself dressed or we'll miss the whole thing.",8
"Where is it exactly, where we're going?",9
"Dunno. Say, Dad. Where're we going?",9
Haven't the foggiest.,9
"Arthur! It's about time, son.",9
"Sorry, Amos. 'Frail we got a bit of a sleepy start. This is Amos Diggory, everyone. Works with me at the Ministry. And this strapping lad must be Cedric, am right?",9
Sir.,9
"Merlin's beard! You're Harry Potter, aren't you? Ced's talked about you, of course. About playing Quidditch against you last year. told him Ced, that'll be something to tell your grandchildren, that will: You beat Harry Potter!",9
"Harry fell off his broom, Dad. told you, it was an accident",9
"Yes, but you didn't fall off, did you? Best man won. I'm sure Harry'd say the same.",9
"Well, shall we? Don't want to be late.",9
"Hm? Oh, right. It's over there.",9
Can you tell me why we're all standing here pressing our fingers to this manky old boot?,9
"This isn't just any manky old boot, mate.",9
It's a Portkey,9
Portkey? What's a...,9
"That'll clear your sinuses, eh!",10
And thought hated Floo Powder.,10
Thanks.,10
"Well, here we are!",11
love magic.,12
Get your Quidditch World Cup programs! Only five Sickles!,13
"There's the Peruvian Minister for Tourism. And that man there's the African Head of Magical Games and Sports. And oh lord there's Ali Bashir. He's been trying to import flying carpets for years. keep telling him they'll never replace brooms, but he sees a niche market for a family vehicle...",13
"Blimey, Dad. How far up are we?",13
"Well, if it rains, you'll know first.",13
"Father and are in the Minister's box, by personal invitation of Cornelius Fudge himself.",13
"Now, now, Draco. There's no need to boast. Blood has its privileges. As I'm sure your schoolmates are well aware.",13
Mr. Potter.,13
It's the Irish! There's Troy!,14
And Mullet,14
And here comes Moran...,14
Here come the Bulgarians!,14
Who's that?,14
"That, sis, is the best Seeker in the world.",14
"He flies rather well, doesn't he?",14
You could say that.,14
What's his name?,14
Krum?,14
Krum.,14
"Good evening! As Minister for Magic, it gives me great pleasure to welcome each and every one of you to the final of the four hundred and twenty-second Quidditch World Cup! Let the match begin!",14
"Brilliant Krum, wasn't he? Did you see him put Lynch into the ground with the Wronski Feint? It was positively brutal.",15
"think you're in love, Ron.",15
"Quiet, you.",15
Sounds like the Irish have got their pride on.,15
It's not the Irish.,15
Get yourselves dressed. Now!,15
Who are those people? In the air?,16
Muggles.,16
And the ones on the ground?,16
Death Eaters.,16
"No. Get back to the Portkey, all of you. And stick together. Fred, George, you're responsible for Cinny. Cinny, you listen to your brothers. Ginny! Did you hear me!",16
MORSMORDRe!,17
Harry!,17
Harry!,17
"Thought we'd lost you, mate. And then...",17
What is that?,17
Don't you know...?,17
Duck!,17
STUPEFy!,17
Stop! That's my son! Ron Harry Hermione are you all right?,17
Which of you conjured it?,17
"Mr.Crouch, you can't possibly",17
Do not lie! You've been discovered at the scene of the crime!,17
Crime?,17
Barter. They're just kids...,17
What crime?,17
"That... it's the Dark Mark, Harry. It's.., his mark.",17
Voldemort?,17
Why does he always have to do that?,17
"Those people tonight in the masks they're his too, aren't they? His followers.",17
Death Eaters.,17
There was someone before. man.,17
"man? Who, Harry?",17
"Dunno. One minute he was there, then... not. never saw his face. Could've been anybody...",17
"Anything off the trolley, dears?",19
I'll have a pack of Droobles. And a Licorice wand and...,20
"On second thought, just the Droobles.",20
"S'alright, I'll get it",20
Just the Droobles.,20
One Pumpkin Pastie please.,20
"Something sweet for you, dear?",20
Huh? Oh. No. I'm not... hungry.,20
This is bad. Very bad...,20
"It's hurting again, isn't it? It was hurting that morning too. The day of the World Cup.",20
I'm fine.,20
Suit yourself. But at least tell him. You know he'd want you to.,20
"Harry rolls up the parchment, fixes it to Hedwig's leg and lets her fly free of his hands and through the open window.",21
"Mr. Filch, our beloved caretaker, has informed me that the list of objects forbidden within the castle now includes Screaming Yo-Too, Fanged Frisbees, Ever-Bashing Boomerangs and Chocolate Marshmallow Bunnies. I'm joking about that last one. The full list comprises some four hundred and thirty-seven items and may be viewed in Mr. Filch's office.",24
Mental. Always has been.,24
"Now. There is, apparently, a rather nasty rumor flying about the school that Quidditch will not be played this year. That rumor, I'm here to tell you... is absolutely true.",24
"There is an explanation. You see, Hogwarts will this year play host to a legendary event. An event that has not taken place in over one hundred years... The Triwizard Tournament.",24
You're joking!,24
"am not joking, Mr. Weasley. For those of you who do not know, the Triwizard Tournament was originally conceived some seven centuries ago as a way for the three largest European wizardry schools to engage in a series of magical contests while their respective student bodies experienced the benefits of cross-cultural social intercourse.",24
"In other words: One got to spend an entire year getting to know people who spoke a funny language. Unfortunately due to a distressing high death toll, the Tournament was canceled...",24
"...until now. Tomorrow, delegations from the Beaxbatons Academy of Magical Arts and the Durmstrang School of Wizardry will journey to Hogwarts. This year, our home will be their home. ask only that you endeavor to make it a happy one.",24
What's he doing here?,26
Please join me in welcoming the lovely ladies of the Beauxbatons Academy of Magic!,26
Blimey. That's one big woman.,26
"Madame Maxime. Welcome to Hogwarts, my dear.",26
"Ah, Dumbly-dorr. You are well, yes?",26
Blooming.,26
And now... our friends from the north! Please greet the proud sons of Durmatrang!,26
Dear old Hogwarts. It's so...,26
Perfectly imperfect?,26
Igor.,26
"Severus. Long time, no see. And Barry. almost didn't recognize you. You look so... tired. Sleeping well these days?",26
Omigod! It's him!,26
"Rogwarts, Hogwarts, foggy Warty Hogwerts... Teach us something please Whether we be old and bald Or young with scabby knees Our heads could do with filling With some interesting stuff For now they're bare and full of air. Dead flies and bits of fluff.",26
So we bid you truly welcome You are a funny lot But any guests of Hogwarts Can't be all rot!,26
"Ah, music. magic beyond all we do here.",26
"Brilliant, isn't he?",27
He's caring.,27
Why d'you suppose they've been put at the Slytherin table?,27
Birds of a feather. Durmstrang puts a lot of emphasis on the Dark Arts.,27
would like to say a few words before we bring in the casket.,27
Casket. Did he say casket?,27
"Eternal glory. That is what awaits the student who wins the Triwisard Tournament. But to do so, that student must survive three tasks. Three very dangerous tasks.",27
Wicked.,27
"You see, the Triwizard Tournament has an unfortunate history of killing off its participants. For this reason the Ministry has seen fit to impose a new rule. To explain, we have the Head of the Department of International Magical Cooperation, Mr. Bartemius Crouch",27
Bloody hell. That's Madeye Moody.,27
