text,time,inout,scene,location
outside of little hangleton predawn,twilight,outside,0,
outside of graveyard (little hangleton) predawn,twilight,outside,1,
inside of cottage predawn,twilight,inside,2,
outside of cottagehill predawn,twilight,outside,3,
outside of riddle house predawn,twilight,outside,4,
inside of riddle house predawn,twilight,inside,5,
inside of upstairs hallway predawn,twilight,inside,6,
outside of cottagehill predawn,twilight,outside,7,
inside of weasley house ron's bedroom dawn,day,inside,8,
outside of woods dawn,day,outside,9,
outside of moor early evening,unknown,outside,10,
outside of campsite day (later),day,outside,11,
outside of campsite day (later),day,outside,12,
outside of stadium new angle night,twilight,outside,13,
outside of stadium new angle night (minutes later),twilight,outside,14,
inside of tent (campsite) night (hours later),twilight,inside,15,
outside of tentcampsite night (minutes later),twilight,outside,16,
outside of campsite new angle night (twilight),twilight,outside,17,
outside of trainhillside late day (days later),twilight,outside,18,
inside of train corridor twilight time late day,twilight,inside,19,
inside of outside of train compartment twilight time late,twilight,both,20,
inside of hogwarts express closeup parchment late day,twilight,inside,21,
outside of hogwarts express late day,twilight,outside,22,
outside of hogwarts castle night,twilight,outside,23,
inside of great hall night,twilight,inside,24,
outside of hogwarts castle battlements evening (next day),day,outside,25,
outside of courtyard night (twilight),twilight,outside,26,
inside of great hall night (later),twilight,inside,27,
"ext, hogwarts castle day",day,outside,28,
inside of moody's classroom day,day,inside,29,
outside of spiral staircase outside moody's day (day),day,outside,30,
outside of courtyard late afternoon,unknown,outside,31,
inside of great hall day action late aft,day,inside,32,
inside of great hall might,unknown,inside,33,
inside of trophy room night (seconds later),twilight,inside,34,
outside of hogwarts castle night (later),twilight,outside,35,
inside of dumbledore's office night,twilight,inside,36,
inside of tower cormitory night (later),twilight,inside,37,
inside of trophy room day,day,inside,38,
inside of broom closet day,day,inside,39,
inside of trophy room day,day,inside,40,
outside of owlery day,day,outside,41,
inside of owlery day,day,inside,42,
inside of gryffindor common room night,twilight,inside,43,
outside of cloister (oxford new college) day,day,outside,44,
outside of forbidden forest night,twilight,outside,45,
outside of corridor day,day,outside,46,
inside of moody's office day,day,inside,47,
inside of library day,day,inside,48,
outside of hogwarts castle late afternoon,unknown,outside,49,
outside of arena stands late afternoon,unknown,outside,50,
inside of tent late afternoon,unknown,inside,51,
outside of arena late afternoon,unknown,outside,52,
inside of common room night (later),twilight,inside,53,
inside of great hall day,day,inside,54,
inside of dance class day,day,inside,55,
inside of corridor day (another day),day,inside,56,
inside of moody's classroom day,day,inside,57,
inside of hill day,day,inside,58,
outside of oxford new college courtyard day,day,outside,59,
inside of tower dormitory night,twilight,inside,60,
inside of spiral staircase day,day,inside,61,
outside of stone bridge day,day,outside,62,
inside of moody's classroom day,day,inside,63,
inside of tower dormitory night,twilight,inside,64,
inside of courtyard day,day,inside,65,
inside of dance classroom day,day,inside,66,
outside of lake day,day,outside,67,
inside of moody's classroom day,day,inside,68,
outside of stone bridge day,day,outside,69,
outside of courtyard day,day,outside,70,
outside of tower night,twilight,outside,71,
inside of great hall morning,day,inside,72,
outside of groundsowlery day (later),day,outside,73,
inside of common room night (hours later),twilight,inside,74,
inside of dormitory night (days later),twilight,inside,75,
inside of bottom staircaseentrance hall night,twilight,inside,76,
inside of great hall,unknown,inside,77,
outside of courtyard night (later),twilight,outside,78,
inside of entrance hallgreat hall night (after),twilight,inside,79,
outside of hogwarts castle clocktower night,twilight,outside,80,
inside of tower dormitory night (hours later),twilight,inside,81,
outside of sky (little hangleton) night,twilight,outside,82,
inside of tower dormitory night,twilight,inside,83,
outside of wooden bridge day,day,outside,84,
inside of fifthfloor corridor night,twilight,inside,85,
inside of prefects' bathroom night,twilight,inside,86,
inside of library night (very late),twilight,inside,87,
outside of black lakehogwarts castle morning,day,outside,88,
outside of black lake lake shore morning,day,outside,89,
outside of viewing towers day,day,outside,90,
outside of underwater,unknown,outside,91,
outside of black lake,unknown,outside,92,
inside of lake shore day (minutes later),day,inside,93,
outside of woods above hagrid's hut dusk,unknown,outside,94,
inside of common room night,twilight,inside,95,
outside of corridordumbledore's office day,day,outside,96,
inside of trial chamberpensieve day,day,inside,97,
inside of dumbledore's office day,day,inside,98,
inside of portrait corridor day (day),day,inside,99,
outside of wooden bridge,unknown,outside,100,
outside of owlery day,day,outside,101,
inside of owlery day,day,inside,102,
outside of maze dusk,unknown,outside,103,
inside of maze harry,unknown,inside,104,
outside of maze dusk,unknown,outside,105,
inside of maze night,twilight,inside,106,
outside of maze an enormous wide shot,unknown,outside,107,
inside of maze night,twilight,inside,108,
outside of graveyard little hangleton night,twilight,outside,109,
outside of maze night,twilight,outside,110,
inside of moody's office night,twilight,inside,111,
inside of gargoyle corridor night,twilight,inside,112,
inside of dumbledore's office night (twilight),twilight,inside,113,
outside of hogwarts castle day,day,outside,114,
inside of great hall day,day,inside,115,
outside of owlery day,day,outside,116,
inside of outside of owlery day time day,day,both,117,
outside of groundsowlery day,day,outside,118,
