text,scene
Left!,0
Night's so great. You look so good. Just need to grab you.,0
Huh..Sorry didn't..,0
We're here..,0
Hey..Matty..I may have to go back on what said about finally seeing your place tonight..there's a lot on my mind right now and..,1
You sure?,1
"Well, no.",1
No pressure here. It should feel right. His John Wayne moral center impresses Lisa..but then he takes several steps back..,1
That's nice. Thanks. Why are you moving away?,1
Give you room to think and decide.,1
Take your time. get a kick out of watching you make up your mind.,1
You have all the signs of a handful.,1
Hope so.,1
I'm sorry did hurt you?,2
Just got me more interested.,2
Amazing.. Female jocks are amazing.,3
Could you personalize it a little?,3
"Right, right, right..I meant it as tribute to you, Lisa Jorgenson. Come on, it was amazing, huh? That was unbelievable.",3
Fishing for a compliment?,3
I'm fishing for a celebration.,3
have to get going.,3
There's a fresh toothbrush in the right hand drawer.,3
You don't have to wear that dress home.,4
Medium?,4
What?,4
The stack is a little  ¬repulsively unromantic.,4
No it's not. It's classy. I'm being a good host here.,4
It's like I'm on an assembly line spitting out girls.,4
"That's just negative. Aren't we all on an assembly line going through each other's lives until one day we close down the factory, take home a product and use it monogamously for the rest of our lives?",4
"Matty, my mistake..forget about it.",4
If hid the rest and gave you one I'd be a great guy..but because am open with you...,4
Just forget it!,4
Too bad.,4
"Hey Matty...What am doing? know better.. ""Don't judge anybody before you check yourself out. You're lucky when it's your fault because then you can correct the situation.""",5
"I'm nervous over something and a little worried so ended up with an attractive guy who you'd have to be an idiot to mistake for serious material ..for anything but a fun friendship and rather than accept the evening as a chance to hide out from myself with some really amazing sex, start to give him a hard time for just being who he is. really apologize. Please, forgive me.",5
"You may be my ""dream girl.""",5
You take care.,5
"What are you worried about, anyways?",5
Nothing! can't believe I'm whining about it. Crap!,5
"As she stops at the foot of the stairs to open a compartment and withdraw a weighted vest which she puts on..and then begins to hop up the stairs two at a time..It's a hell of a stunt..as hard as it looks and this image, of athlete straining, while wearing a hopelessly wrinkled party dress is strangely a very appropriate image for what awaits her.",8
Hey..my fave. What are you doing here? didn't think I'd see you till the Jersey clinic. We're just editing the promotional video. Show her part..,12
Just for a minute.,12
Lisa Jorgenson.,12
Good to meet you.,12
Co-captain and second baseman Lisa Jorgenson ended Australia's rally..and secures the cup..The United States wins its 7th world championship.,12
Captain Jorgenson is the mother hen of the celebration.,12
Enough..,12
Whew.,12
Did coach call you here?,12
Nope. Just thought should speak to him while it could still maybe do some good.,12
Wow...The roster's never been this late..but no..you can't be on any bubble..,13
was in the top box of his triangle of success chart in of the categories.,13
"Well, oh my God then, so why? You think 'cause Cam is on the college team here he could go with her? No. she's not there yet..Just honestly.",13
It's just the last couple of days an alarm's gone off and it feels more like..truth than nervous crap.,13
"Well, hell go in. Find out for sure you're okay and we'll grab a beer.",13
"Confident, confident, relaxed, confident.. You are the best.",13
"Hey, coach. How's it going?",13
"Hey, you. What's doing?",13
You have a minute?,13
Sure.,13
