text,time,inout,scene,location
outside of street summer night,twilight,outside,0,
outside of apt. bldg. night,twilight,outside,1,
inside of elevator night,twilight,inside,2,
inside of matty's apt. bedroom morning,day,inside,3,
inside of matty's apt. bathroom day,day,inside,4,
inside of matty's apt. hallwaybedroom,unknown,inside,5,
outside of street day,day,outside,6,
inside of subway day,day,inside,7,
outside of middle class street near lisa's apt. day,day,outside,8,
inside of lisa's apt. day.,day,inside,9,
inside of lisa's apt. close on lisa a bit later,unknown,inside,10,
outside of national team athletic complex tracking with lisa,unknown,outside,11,
inside of athletic department women's wing edit bay day,day,inside,12,
inside of athletic dept. hallwaycoach's office day,day,inside,13,
inside of airplane day,day,inside,14,
outside of athletic field day very close on lisa,day,outside,15,
inside of office day,day,inside,16,
inside of university hallway late afternoon,unknown,inside,17,
inside of cramped academic office day,day,inside,18,
outside of great campus day,day,outside,19,
outside of running area national mall early morning,day,outside,20,
outside of outdoor area day,day,outside,21,
inside of george's office day,day,inside,22,
outside of office buildinginside of george's office:intercut day 26,day,both,23,
outside of great apt. bldg. night,twilight,outside,24,
inside of matty's bedroom night,twilight,inside,25,
inside of terry's apt. night,twilight,inside,26,
inside of stairwell night,twilight,inside,27,
inside of george's apartment night,twilight,inside,28,
inside of george's apartment night,twilight,inside,29,
inside of george's apartment night,twilight,inside,30,
inside of annie's aptinside of george's apt: intercut night,twilight,inside,31,
inside of businside of george's apartment: intercut night,twilight,inside,32,
inside of lisa's apt. morning,day,inside,33,
inside of bathroom morning,day,inside,34,
inside of living room morning,day,inside,35,
outside of george's office building day,day,outside,36,
inside of george's office build. outside george's office david,unknown,inside,37,
inside of george's office bldg. outer offices day,day,inside,38,
inside of lisa's apt. bldg. stairwell day,day,inside,39,
inside of lisa's apartment day,day,inside,40,
outside of george's apt. building day,day,outside,41,
outside of wide shot other city street lisa,unknown,outside,42,
inside of restaurant day,day,inside,43,
inside of restaurant day,day,inside,44,
outside of restaurant twilight (remember they ate early),twilight,outside,45,
outside of street night george walking,twilight,outside,46,
inside of hotel lobby night,twilight,inside,47,
outside of matty's apartment bldg. night,twilight,outside,48,
inside of luxury lobby night,twilight,inside,49,
outside of matty&charles apt bldginside of luxury lobby:intercutnight,twilight,both,50,
inside of lisa's apt. bldg. stairwell night,twilight,inside,51,
inside of lisa's apartment night,twilight,inside,52,
inside of matty's apt. front door close on matty night,twilight,inside,53,
inside of large office building day,day,inside,54,
inside of law office reception room day,day,inside,55,
inside of law office tower's office day,day,inside,56,
inside of law office waiting room day,day,inside,57,
inside of law office elevator day,day,inside,58,
inside of law office dylan laurie's office day,day,inside,59,
outside of running area national mall day,day,outside,60,
outside of party terrace drizzly night,twilight,outside,61,
outside of party terrace night,twilight,outside,62,
outside of street rainy night,twilight,outside,63,
inside of matty's apartment night,twilight,inside,64,
inside of george's new second floor apt night,twilight,inside,65,
outside of bullpen day,day,outside,66,
inside of lisa's apartment day,day,inside,67,
