text,scene
Written by,0
"George Clooney, Grant Heslov & Beau Willimon",0
I am neither Christian...nor atheist. I am not Jewish or Muslim. What I believe...my religion is called the constitution...,0
Hang on...let me open these up....,0
Okay...,0
I will defend till my dying breath your right to worship whatever god you believe in...,0
"If I'm not religious enough for you, don't vote for me.",0
You got it?,0
If I'm not experienced enough don't vote for me. If I'm not...,0
"Okay got it, thanks.",0
Thanks. We'll need these monitors turned up a bit...it's a big space and he wants to be able to hear.,0
You got it.,0
Also we'll need these podiums put on a riser as we agreed to in the pre-conditions. You're a few inches short and it makes it harder for the Governor to read his notes.,0
"No I know, we just got those specs last night and they're building a piece to go under...",0
"Great, thanks. See you guys in a few hours.",0
I didn't know the Governor had trouble reading his notes. Why doesn't he wear...,0
"He doesn't but Pullman is 5'8"" he'll look like a hobbit behind that podium.",0
Well it all comes down to this...We are one week away from the Ohio primary...,1
Two democrats are left standing. Senator Pullman of Arkansas who is trailing Governor Morris from Pennsylvania.,2
"Governor Morris has mounted a sizable lead with 2047 delegates, winning New Hampshire, California, New York and Michigan...But Senator Pullman with 1302 delegates is still in the hunt having won Florida, Tennessee, Virginia and Missouri...",3
A win in Ohio could turn it all around for the Arkansas Senator...,4
So one week from Tuesday the all important hundred and eighty one Ohio delegates could be the deciding factor..,4
"And once again the old adage is true...""As goes Ohio, so goes the Nation.""",5
Would you call yourself a Christian?,7
How would that matter?,7
"""I have no idea what happens when we die, maybe nothing...maybe it was like before we were born."" You did write this Governor...",7
"Then let me try and clarify...I was raised Catholic, I am not a practicing Catholic...I have no idea what happens when you die and if the Senator does, then perhaps he should be President. I'll even vote for him.",7
Is that your idea of being specific?,7
"Let me be more specific. I am neither a Christian, nor an atheist, I'm not Jewish or Muslim...what I believe...my religion is written on a piece of parchment called the Constitution. Meaning I will defend, till my dying breath, your right to worship, in whatever God or lack thereof you believe in, as long as it doesn't hurt others. I believe we should be judged as a government by how we take care of those who can't take care of themselves. That's my religion. If you feel that I'm not religious enough, then don't vote for me. If you feel I'm not experienced enough or tall enough then don't vote for me. Because I'm not going to change those to get elected.",8
I just wanted you to say out loud if you believed in the teachings of the Bible.,8
Is this a Democratic primary or a general election?,8
"Well Governor, whoever wins this contest will be running for President...and if you don't think that these questions won't be central in a general election then you are living in fantasy land. I applaud your honesty Governor, I do...I'm simply pointing to what is obvious...we are running for President of the United States...not for student council president.",8
A double?,9
A double.,9
Fucking national security.,9
Outta the park.,9
Home run.,9
I'm trying to remember if the democrats ever nominated an atheist before...,9
"Well, we know they've nominated jackasses before.",9
Must've been you that did the prep work. Paul's not that clever.,9
"You always had the brains Duffy, but me - I always had the balls.",9
Looks like you got some brains now too. Be careful. I just might have to steal him from you.,9
What a prick.,9
"So Paul, tell me something I don't know...tell me what's gonna happen on the 15th.",10
Ha-ha.,10
What?,10
What do you think Stevie?,10
It's ours for the taking.,10
Ben?,10
We'll win.,10
What do you think Ida?,10
I'm asking you.,10
You tell me and I'll tell you.,10
"If had to say, I'd say it'll be close, but you'll eke it out.",10
Eke?,10
"You see, she's trying to get under my skin.",10
So what's gonna happen?,10
Us by nine.,10
Nine? There's no way you'll win by nine.,10
At least. Maybe more.,10
So you're certain you're gonna win here?,10
Certain? No. Confident? Yes.,10
You just said you'll win by nine.,10
"And I think we will, but I won't tell you it's a sure thing. Fucking Saint Gabriel can blow his horn on election day and get his four horseman to rig the ballot boxes for Pullman and it wouldn't surprise me. Don't get me wrong. Six presidentials I've done and I've never felt this good. But am I gonna sit here and say ""Yes -we will definitely win Ohio""? Not a chance. In the last thirty years seventy-three Democrats have run for president. How many have won? Three.",10
"That means seventy guys ran who thought they had a chance, and they all lost.",10
So you're saying there's a good chance you won't win.,10
"Don't twist my words. What I'm saying is that I'm not going to promise we'll win. But he's decorated by Bush Senior from the first Gulf war and protested the second. He left his state with a balanced budget and the fourth highest education rate. The Republicans have nobody out there that can touch this guy...so for this moment, this election, this primary is the presidential. And that Ida, is the state of the union. And on that note, I'm gonna take a shit.",10
So Stephen...,10
Yes Ida?,10
"Stephen, Stephen, Stephen....",10
Here it comes...hit me.,10
Paul's going to the airport?,10
Yes?,10
Getting on a plane.,10
Mmhmm.,10
Where is that plane going?,10
Three guesses.,10
Not going back to headquarters.,10
Correct.,10
He's not going to Texas?,10
"No need, we'll split Texas, it's a wash.",10
What if I said North Carolina?,10
That's your guess?,10
He's going to North Carolina.,10
I will neither confirm nor deny that statement.,10
I knew it. Now tell me why.,10
That I cannot do.,10
I hate you.,10
You love me.,10
I love Paul. You I hate.,10
You only love him because he gives you all the scoops.,10
Sexual favors?,10
You're engaged.,10
If it meant a good scoop my fiance would understand.,10
You really buy into all this crap? All this take back the country nonsense?,10
Ida I'm not naive about this stuff. I've worked on more campaigns than most people do by the time they're forty...I'm telling you this is the one.,10
You really have drunk the kool-aid.,10
"I have drunk it it's delicious. I don't care whether he leads in the polls...I don't care whether he has all the tools...Because the truth is, he's the only one that's going to make a difference in peoples lives...Even the people that hate him. If Mike Morris is President it says more about us than it does about him. I don't give a fuck if he can win. He has to win.",10
Or what? The world will fall apart? It won't matter...Not one bit to the everyday lives of everyday fuckers who work and eat and sleep and get up and go back to work again. If your boy wins...You get a job in the white house...If he loses you're back at a consulting firm on K Street...That's it. You used to know that before you got all goosebumpy about this guy. Morris is a politician...He's a nice guy...They're all nice guys.,10
He will let you down...sooner or later.,10
This is off off off the record.,11
What?,11
