text,scene
Written by,0
Peter Schink & Scott Stewart,0
10.31.07 Final Draft,0
"When I was a little girl, my mother would remind me each night before bed to be sure to open my heart to God, for he was kind, merciful and just. Things changed after my father left a few years later, leaving her to raise me and my brothers alone in a little place out on the edge of the Mojave Desert. She never talked about a kind and merciful God again. Instead she spoke of a prophecy. Of a time when all the world would be covered in darkness and the fate of Mankind would be decided. One night I finally got up the courage to ask my mother why God had changed, why was he mad at his children. ""I don't know,"" she said, tucking the covers around me, ""I guess he just got tired of all the bullshit.""",0
Goddamn' animals. Nights like this I wish I could take a match to this city just so I could watch all these motherfuckers burn.,5
"A good ol' boy barbecue, huh?",5
A fresh start. That's what this place needs.,5
Pow!   Pow!     Pow!,5
"Jesus... You know Burton, I'm so happy we get to share beautiful moments like this. They really brighten my da",5
Freeze!,6
Drop the bags! Hands on your head!,6
It's starting. There isn't much time.,6
Shut the fuck up and drop the bags now!,6
Hands on your head!    On your head!,6
Turn around! Turn the fuck around!,6
Let `em go!,6
"Take the shot, Burton!",6
I said let `em fuckin' g-g-g-g,6
Burton!?,6
"What are you doing, Michael?   These weren't your orders.",6
What did you say?,6
I'm following my own orders now.,6
Then you will die along with the child.,6
"Burton, you fuckin' know this guy?!",6
"You okay, Jeep?",8
"Sorry to wake you, Charlie.",8
Wasn't you. He's been kickin' up a storm all night. Must know somethin' I don't.,8
Another bad dream?,8
"It's just stress, Jeep, that's all. You do too much worryin'. About this place. About your dad.",8
About me...,8
You're the only thing I like worrying about.,8
See what I mean? You're worried about a girl eight months pregnant and it isn't even your baby. Now that's enough to give anybody nightmares.,8
"Go ahead, make fun of me. Everybody else does.",8
"C'mon, I was only kiddin'. You know how much I appreciate everything you and Bob are doing for me, but a month from now, this baby'll have a new family and I'll have to start thinkin' about what the hell I'm doin' with my life.",8
So you're still going through with it...?,8
"Jeep, I'm not ready to be a mama. Christ, I can barely take care of myself as it is.",8
"I could help you. We could do it together, you know? I want to.",8
You gotta stop carryin' the weight of the world on your shoulders.,8
Now can we go back in? I'm freezing my ass off out here.,8
Go on.   I'll be right there.,8
I don't know whether I like it very much being seen around with an angel without any wings.,8
"Oh, I've got to earn them and you'll help me, won't you?",8
"Lord as my witness, Bob, one of these days that thing's gonna hit you back.",9
"Whaddya talkin' about, Percy? We got a special relationship here.",9
"Yeah, they got names for that kind a relationship.",9
It's disgusting.,9
You're right. It is disgusting.,9
"Really, how can she go out in public wearing that?",9
I don't know. Why don't we just ask her?,9
"Howard, don't. You'll embarrass me.",9
"Audrey, honey? Your mother was wondering if you got dressed this morning with the specific intention of showing your ass off to the entire world?",9
"Yeah, that's cuz I woke up hoping to get double teamed by a couple of meth head truckers in the bathroom of some desert shithole.",9
Good thing we stopped here.,9
I feel satisfied with that answer. I really do.,9
"I'm being punished for something, I know it.",9
Shit...,10
"Darren, your fuckin' directions suck, man.",11
Hey...,11
You know that shit right there ain't good for the baby.,11
Guess I should think `bout quittin' then.,11
"Now hold on, girl, let me bum one before you do.",11
You can buy a whole pack inside.,11
"Tell ya what. You let me have one of yours, and I'll give you two from the new pack you're gonna sell me.",11
Am I in the right place?,11
"Only if nowhere's right, `cause that's where you are.",11
"Sonuvabitch. There another phone around here? You know, one that works?",11
Bob'll probably let you use the diner phone if you ask him real nice...And pay `im somethin'.,11
I can handle that.   You got pancakes here?,11
