text,time,inout,scene,location
outside of an alley way late night,twilight,outside,0,Alley
outside of city street a short while later,unknown,outside,1,Street
inside of gun & sport world a short while later,unknown,inside,2,Sporting Goods Store
inside of gun & sport world bathroom twilight,twilight,inside,3,Sporting Goods Store
inside of gun & sport world twilight,twilight,inside,4,Sporting Goods Store
inside of lapd squad car driving twilight,twilight,inside,5,Police Car
outside of gun & sport world twilight,twilight,outside,6,Sporting goods store
inside of jeep's room just before dawn,day,inside,7,Room
outside of desert predawn,twilight,outside,8,Desert
inside of paradise falls gas `n' grub day,day,inside,9,Gas Station
inside of escalade driving day,day,inside,10,Sporting goods store
outside of paradise falls gas `n' grub day,day,outside,11,Gas station
inside of paradise falls gas `n' grub day,day,inside,12,Gas Station
inside of mechanic's bay day,day,inside,13,Bay
outside of paradise gas `n' grub day,day,outside,14,Gas Station
inside of paradise falls gas `n' grub day,day,inside,15,Gas Station
inside of diner back office day,day,inside,16,Restaurant
inside of diner day,day,inside,17,Restaurant
outside of paradise falls gas 'n' grub day,day,outside,18,Gas Station
inside of paradise falls gas 'n' grub day,day,inside,19,Gas Station
outside of paradise falls gas 'n' grub day,day,outside,20,Gas Station
inside of escalade day,day,inside,21,Car dealership
outside of paradise falls gas `n' grub day,day,outside,22,Gas Station
inside of escalade day,day,inside,23,Rock Climbing Area
inside of diner bathroom day,day,inside,24,Public Restroom
inside of paradise falls gas 'n' grub day,day,inside,25,Gas Station
inside of paradise falls gas 'n' grub day,day,inside,26,Gas Station
outside of paradise falls gas 'n' grub a few minutes later,unknown,outside,27,Gas Station
inside of paradise falls gas 'n' grub day,day,inside,28,Gas Station
outside of paradise falls gas 'n' grub day,day,outside,29,Gas Station
inside of paradise falls gas 'n' grub day,day,inside,30,Gas Station
outside of paradise falls gas 'n' grub roof night,twilight,outside,31,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,32,Gas Station
outside of paradise falls gas 'n' grub roof twilight,twilight,outside,33,Gas Station
inside of paradise gas `n' grub twilight,twilight,inside,34,Gas Station
outside of paradise falls gas 'n' grub roof twilight,twilight,outside,35,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,36,Gas Station
outside of paradise gas `n' grub roof twilight,twilight,outside,37,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,38,Gas Station
inside of paradise falls gas 'n' grub roof late night,twilight,inside,39,Gas Station
inside of paradise falls gas 'n' grub night,twilight,inside,40,Gas Station
outside of paradise falls gas `n' grub dawn,day,outside,41,Gas Station
outside of paradise gas `n' grub roof morning,day,outside,42,Gas Station
inside of paradise falls gas 'n' grub day,day,inside,43,Gas Station
inside of diner bathroom day,day,inside,44,Diner
inside of paradise falls gas 'n' grub back office day,day,inside,45,Gas Station
inside of paradise gas `n' grub day,day,inside,46,Gas Station
outside of paradise falls gas 'n' grub roof day,day,outside,47,Gas Station
inside of paradise gas `n' grub back office day,day,inside,48,Gas Station
outside of paradise falls gas `n' grub freezer room day,day,outside,49,Gas Station
inside of paradise falls gas `n' grub a short while later,unknown,inside,50,Gas Station
inside of diner bathroom night,twilight,inside,51,Restaurant Bathroom
inside of diner a short while later,unknown,inside,52,Restaurant
outside of paradise falls gas 'n' grub roof late afternoon,unknown,outside,53,Gas Station
inside of paradise falls gas `n' grub twilight,twilight,inside,54,Gas Station
outside of paradise falls gas 'n' grub roof twilight,twilight,outside,55,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,56,Gas Station
outside of paradise falls gas 'n' grub twilight,twilight,outside,57,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,58,Gas Station
outside of paradise falls gas 'n' grub twilight,twilight,outside,59,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,60,Gas Station
outside of paradise falls gas 'n' grub twilight,twilight,outside,61,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,62,Gas Station
outside of  paradise gas `n' grub late night,twilight,outside,63,Gas Station
inside of paradise falls gas 'n' grub late night,twilight,inside,64,Gas Station
outside of paradise falls gas 'n' grub roof twilight,twilight,outside,65,Gas Station
inside of paradise falls gas 'n' grub twilight,twilight,inside,66,Gas Station
