scene,start,end,score,query,script
2,366.9,374.0,70.0,The day begins and now let's see what this new world will do for me.,And now lets see What this new world Will do for me!
17,560.5,565.9,72.62569832402235,We have your silver. We caught this man red-handed hit the nerve to say you gave him this.,"Monsignor, we caught the thief red-handed! He has the nerve to say you gave him all this!"
17,570.4,585.3,74.10714285714286,But my friend you left so early surely something slipped your mind you forgot I gave these also would you leave the best behind?,"But my friend, you left so early, You forgot I gave these also. Would you leave the best behind?"
17,595.9,602.0,67.81609195402298,I commend you for your duty now God's blessing girl with you.,"Messieurs, release him. For this man has spoken true. I commend you for your duty Now God's blessing go with you."
17,624.9,642.1,68.20276497695852,By the witness of the martyrs by the passion and the blood God has raised you out of Darkness. I have saved your soul.,"By the passion and the blood, God has raised you out of darkness - I have bought your soul for God."
18,666.1,691.1,73.12186978297161,"What havoc on sweet Jesus what have I done become a thief in the night become a dog on the Run have I fallen so far and is the hour so late that nothing remains, but the Cry of my hate the cries in the dark that nobody hears here where I stand the turning our day he hears if there's another way to go hi, mr. 20 lat","What have I done? Sweet Jesus, what have I done? Become a thief in the night Become a dog on the run! And have I fallen so far And is the hour so late That nothing remains but the cry of my hate? The cries in the dark that nobody hears Here where I stand at the turning of the years."
18,806.3,827.3,73.50427350427351,Is there another way to go? I am reaching but I fall and the night is closing in as I stare into the void to the whirlpool.,"I am reaching, but I fall And the night is closing in... As I stare into the void - To the whirlpool of my sin."
25,1060.2,1067.3,71.23287671232876,"Come on, ladies settle down. I am the mayor of this town. I run a business of repute.","Now come on, ladies, settle down. I run a business of repute."
25,1110.4,1118.9,69.68838526912181,"But a father abandoned us leaving us flat now, she lives with an Innkeeper man and his wife and I pay for the child. What's the matter with that?","Yes, it's true there's a child And the child is my daughter And her father abandoned us, Leaving us flat. Now she lives with an innkeeper man and his wife And I pay for the child. What's the matter with that?"
25,1140.8,1165.1,82.58859784283513,I'm not have known the bitch could bite. I might have known the cat had claws. I might have guessed your little secret. I guess The Virtuous Fantine who keeps herself. So pure and clean you'd be the cause I had no doubt of any trouble hereabout. You play a virgin in the light heat? No urging in the night. Loving it you what she's having,"I might have known the bitch could bite! I might have known the cat had claws! I might have guessed your little secret! Ah yes, the virtuous Fantine Who keeps herself so pure and clean - You'd be the cause, I had no doubt Of any trouble hereabout. You play a virgin in the light But need no urging in the night!"
26,1260.9,1263.9,98.73417721518987,Your face is not a face. I would forget.,Your face is not a face I would forget.
27,1316.0,1330.0,67.32673267326732,To be a strong as you are a memory Stars you make me think of a man from years ago a man who broke his parole.,Can this be true? I don't believe what I see! A man your age To be as strong as you are! A memory stirs... You make me think of a man From years ago A man who broke his parole.. He disappeared.
29,1406.6,1419.6,73.5632183908046,What pretty locks you've got there? What look you've got. It's worth is sun tea my dear. I'll take the lot. Don't touch me. Leave me alone.,"What pretty hair! What pretty locks you've got there! What luck you got. It's worth a centime, my dear! I'll take the lot!"
29,1420.7,1433.1,77.09497206703911,Let's make a price. I'll give you all of 10 francs. Just think of that it pays a day. You're thinking that.,Let's make a price. I'll give you all of ten francs. Just think of that!
29,1434.7,1441.8,90.22556390977444,What can I do it pays a debt? Ten francs May save my poor Cosette.,What can I do? It pays a debt. Ten francs may save my poor Cosette.
30,1463.3,1467.9,81.81818181818181,Come over here. It's 20 francs for a tooth.,"Come over here, I pay ten francs for a tooth."
30,1489.5,1492.1,81.9672131147541,Y'all get twice if I take two?,You'll get twice If I take two!
31,1519.3,1522.2,100.0,"Come on, dearie, why all the fuss?","Come on, dearie, why all the fuss?"
36,2279.5,2286.5,67.35751295336787,I am down and I am the master of hundreds of workers. They all look to me.,I am the master of hundreds of workers - They all look to me. Can I abandon them? How would they live If I am not free?
37,2326.9,2339.9,67.98679867986799,This innocent who Bears my face who goes to judgment in my place. Who am I? Can I conceal myself forevermore pretend I'm not the man I was before.,"Who am I? Can I condemn this man to slavery? Pretend I do not feel his agony? This innocent who bears my face, Who goes to judgement in my place... Who am I?"
40,2352.2,2378.4,76.13636363636364,"How can I ever face myself again, my soul belongs to God. I know I made that bargain long ago gave me hope when hope was gone. He gave me strength to Journey on on Who Am I who am I?","My soul belongs to God, I know, I made that bargain long ago. He gave me hope when hope was gone! He gave me strength to journey on! Who am I? Who am I? I'm Jean Valjean!"
43,2691.2,2701.5,88.15165876777252,"Nothing of Javert. I was born inside a jail. I was born with scum like you I am from the gutter, too.",You know nothing of Javert! I was born inside a jail. I was born with scum like you. I am from the gutter too.
46,2764.2,2786.0,84.78260869565217,I know a place where no one's lost. I know a place where no one cries crying at all is not allowed not in my castle on a cloud now. Look who's here.,"I know   a place where no one's lost I know   a place where no one cries. Crying   at all is not allowed, Not in   my castle on a cloud."
56,3036.0,3065.9,68.20809248554913,In Surah welcome Bridal Suite is occupied reasonable charges plus some little extras on the side charge em for the lice extra for the mice two percent for looking in the mirror twice hand over here a little slice there a little cut three percent for sleeping with the windows shut when it comes to fixing prices. They're a large tricks. I knows how it all increases are.,Charge'em for the lice Extra for the mice Two percent for looking in the mirror twice. Here a little slice There a little cut Three percent for sleeping with the window shut. When it comes to fixing prices There are lots of tricks he knows How it all increases All those bits and pieces - Jesus! It's amazing how it grows.
59,3182.7,3190.3,76.19047619047619,Do not be afraid of me. Don't hide show me where you live.,"Hush now, do not be afraid of me. Don't cry. Show me where you live."
59,3191.9,3195.0,82.1917808219178,Tell me my child. What is your name?,"Tell me, my child, what is your name?"
60,3204.8,3228.9,70.39627039627038,Can I help you with your bucket? I found a Wandering in the wood This Little Child. I've handed trembling in the shadows and I am here to help Cosette. How will settle any debt you may think proper? I will pay.,"I found her wandering in the wood This little child, I found her trembling in the shadows. And I am here to help Cosette, And I will settle any debt you may think proper. I will pay what I must pay To take Cosette away."
60,3308.9,3313.5,70.58823529411764,Because I said so have a father now.,Cosette shall have a father now.
61,3441.2,3446.7,67.64705882352942,"Where I go, you will be to be like a pepper.","Where I go, you will be."
61,3450.5,3457.3,80.35714285714286,This is true. I'll be father and mother to you. Oh.,"Yes, Cosette! This is true! I'll be father and mother to you!"
62,3462.0,3466.3,68.25396825396825,"No, not enough. There's a cover it do what the devil have you done?",There's a copper at the door! What the devil have you done?
63,3570.3,3594.3,83.82978723404256,How was I ain't know what lost that happiness can come so fast trusting me the way you do. I'm so afraid of failing you just a child who cannot know that danger follows where I go. There are shadows everywhere and memories. I cannot share.,How was I to know at last That happiness can come so fast? Trusting me the way you do I'm so afraid of failing you Just a child who cannot know That danger follows where I go There are shadows everywhere And memories I cannot share
75,3857.6,3886.9,74.0,Till we come face to face till we come face to face. He knows his way in the dark. Mine is the way of the Lord those who follow the path of the righteous shall have their reward and if they fall as Lucifer fell the Flames the soul.,He knows his way in the dark Mine is the way of the Lord Those who follow the path of the righteous Shall have their reward And if they fall As Lucifer fell - The flame!
77,4639.5,4668.7,71.37096774193547,Have you asked yourself? What's the price you might pay? This is simply a game for a rich young boy to play. The colors of the world are changing Day by Day red the blood of angry men black the dark of Ages past red a world about to Dawn.,It is time for us all To decide who we are. Do we fight for the right To a night at the opera now? Have you asked yourselves What's the price you might pay? Is this simply a game For rich young boys to play? The colours of the world Are changing day by day -
