text,scene
Toulon Home port of the French navy,0
Ha - Ha -,1
"Ha - Ha - Look down, look down Don't look them in the eye",1
"Look down, look down You're here until you die.",1
No God above And Hell alone below,1
"Look down, look down There's twenty years to go.",1
"I've done no wrong Sweet Jesus, hear my prayer!",1
"Look down, look down Sweet Jesus doesn't care.",1
I know she'll wait I know that she'll be true -,1
"Look down, look down They've all forgotten you.",1
When I get free You won't see me Here for dust!,1
"Look down, look down Don't look'em in the eye.",1
"How long, O Lord Before you let me die?",1
"Look down, look down You'll always be a slave. Look down, look down You're standing in your grave.",1
Now Prisoner 24601. Your time is up And your parole's begun. You know what that means?,1
Yes. It means I'm free.,1
No! It means you get Your yellow ticket-of-leave.,1
This badge of shame You'll show it everywhere. It warns you're a dangerous man.,1
I stole a loaf of bread My sister's child was close to death And we were starving.,1
You will starve again Unless you learn the meaning of the law.,1
I know the meaning of those nineteen years A slave of the law!,1
"Five years for what you did, The rest because you tried to run. Yes, 24601!",1
My name is Jean Valjean!,1
And I'm Javert! Do not forget my name. Do not forget me - 24601!,1
"Look down, look down You'll always be a slave. Look down, look down You're standing in your grave.",1
"Freedom at last - How strange the taste! Never forget the years - the waste, Nor forgive them for what they've done. They are the guilty - Everyone! The day begins",2
And now lets see What this new world Will do for me!,2
Monsieur can I help? A day's work?,3
Take your hat off.,3
Passport.,3
No work here.,3
Valjean.,6
My inn is full.,8
Jailer. Would you let me stay here for tonight?,10
"This is a prison, not an inn. Get yourself arrested. Then we will open up for you.",10
"Come in, sir, for you are weary And the night is cold out here. Though our lives are very humble What we have we have to share.",13
"There is wine here to revive you. There is bread to make you strong. There's a bed to rest till morning - Rest from pain, and rest from wrong.",14
"Sit, my brother.",14
"Madame, set one more place. Please sit.",14
"May the Lord bless the food we eat today. Bless our dear sister and our honoured guest. Please, eat. Where are you travelling to my brother?",14
Pontarlier.,14
Is that where your family is?,14
No. The destination is compulsory. That is where the Law sends me. I have no home.,14
"Then let this be your home, for as long as you need it.",14
"Sleep well. Tomorrow morning before you leave you will have a cup of milk from our cows, nice and hot.",15
You let me sleep here next to you? How do you know I'm not a murderer?,15
God will take care of that.,15
"Monsignor, we caught the thief red-handed! He has the nerve to say you gave him all this!",17
That is right.,17
"But my friend, you left so early, You forgot I gave these also. Would you leave the best behind?",17
"Messieurs, release him. For this man has spoken true. I commend you for your duty Now God's blessing go with you.",17
"But remember this, my brother - See in this some higher plan. You must use this precious silver To become an honest man. By the witness of the martyrs,",17
"By the passion and the blood, God has raised you out of darkness - I have bought your soul for God.",17
"What have I done? Sweet Jesus, what have I done? Become a thief in the night Become a dog on the run! And have I fallen so far And is the hour so late That nothing remains but the cry of my hate? The cries in the dark that nobody hears Here where I stand at the turning of the years.",18
If there's another way to go I missed it twenty long years ago. My life was a war that could never be won. They gave me a number and murdered Valjean When they chained me and left me for dead Just for stealing a mouthful of bread! Yet why did I allow this man To touch my soul and teach me love? He treated me like any other He gave me his trust He called me brother. My life he claims for God above... Can such things be? For I had come to hate the world - This world that always hated me!,18
"Take an eye for an eye! Turn your heart into stone! This is all I have lived for! This is all I have known! One word from him and I'd be back Beneath the lash, upon the rack. Instead he offers me my freedom!",18
I feel my shame inside me like a knife. He told me that I have a soul... How does he know? What spirit comes to move my life? Is there another way to go?,18
"I am reaching, but I fall And the night is closing in... As I stare into the void - To the whirlpool of my sin.",18
I'll escape now from that world - From the world of Jean Valjean. Jean Valjean is nothing now!,18
Another story must begin!,19
Eight years later,20
"Montreuil-sur-Mer, 1823.",20
At the end of the day you're another day older And that's all you can say for the life of the poor. It's a struggle! It's a war! And there's nothing that anyone's giving. One more day standing about - What is it for? One day less to be living.,21
At the end of the day you're another day colder And the shirt on your back doesn't keep out the chill. And the righteous hurry past They don't hear the little ones crying And the plague is coming on fast Ready to kill - One day nearer to dying!,21
At the end of the day there's another day dawning And the sun in the morning is waiting to rise Like the waves crash on the sand Like a storm that'll break any second There's a hunger in the land There's a reckoning still to be reckoned And there's gonna be hell to pay At the end of the day!,22
At the end of the day you get nothing for nothing! Sitting flat on your bum doesn't buy any bread!,25
There are children back at home -,25
And the children have got to be fed.,25
And you're lucky to be in a job -,25
And in a bed!,25
And we're counting our blessings!,25
At the end of the day just be glad to be working For a master who cares for the lives of the poor.,25
He's a riddle..,25
He's no fool..,25
He's the answer to anyone's prayer,25
And he paid for the brand new school,25
It's no wonder they made him the mayor!,25
Bless the man who leads the way! At the end of the day!,25
Have you seen how the foreman is fuming today With his terrible breath and his wandering hands?,25
It's because little Fantine won't give him his way.,25
"Take a look at his trousers, you'll see where he stands!",25
"And the boss, he never knows That the foreman is always on heat.",25
"If Fantine doesn't look out, Watch how she goes, She'll be out on the street!",25
"At the end of the day its another day over With enough in your pocket to last for a week Pay the landlord, pay the shop Keep on working as long as you're able Keep on working till you drop Or it's back to the crumbs off the table Well, you've got to pay your way At the end of the day!",25
"And what have we here, little innocent sister?",25
"Come on, Fantine, let's have all the news. `Dear Fantine, you must send us more money, Your child needs a doctor, There's no time to lose.'",25
Give that letter to me It is none of your business. With a husband at home And a bit on the side! Is there anyone here Who can swear before God She has nothing to fear? She has nothing to hide?,25
