text,scene
by,0
M. Night Shyamalan,0
Where are they?,6
Daaaad!,6
Bo where's Morgan?,7
Bo?,7
Are you in my dreams too?,7
This isn't a,7
Dad!,7
Morgan what's happening?,7
Are... you... hurt?,7
I think God did it.,7
Did what Morgan?,7
"""BUCKS COUNTY PENNSYLVANIA... THIRTY MILES OUTSIDE PHILADELPHIA""",7
... Lee actually the reason I'm calling is about Lionel.,8
Was he at home last night with you or was he out and about with the Wolfington brothers?,8
"Well, there was a little mischief done to our crops last night.",8
I know he's a fine boy... No one's saying otherwise.,8
"Listen Lee, I don't even mind if it was him.  You could just talk to him and that would be enough for me... See it was kind of strange finding the crops like that.  The kids were... confused by it.  It would take the strangeness away if we knew it was Lionel and the Wolfington brothers just messing around... The movies... Are you sure? Okay, then... Thank you for your patience Lee.",8
Houdini peed.  I think he's sick.,8
Take him outside.  I'll call Dr. Reynolds.,8
That was quick Edgar.  I only called you boys about two hours ago.,8
"Mrs. Kindleman twisted her ankle as she put it, ""diving for her life"" when a bunch of school kids rode down the sidewalk on skateboards. She went down to Thorton's store this morning and started spitting on the new skateboards.  Spitting! By the time I got there, Mrs. Kindleman had sprayed the whole damn place... She must have had a cold or something.  It was enough to turn a grown man's stomach.",8
So what happened to your crops?,8
I think it's contaminated.,9
You don't even know what that word means.,9
It's not contaminated.  It's just tap water.  Pour it in his bowl.,9
It tastes funny.,9
He licks his butt everyday.  He's not going to mind.,9
Houdini?,9
Bo don't run.,9
What's wrong boy?,9
Stop it Houdini!,9
"Bo, run.",9
It's the strangest thing Father.,10
Don't call me Father.,10
What's that?,10
Don't call me Father.  It's just Graham now.,10
Sorry.,10
You said something was strange. What's strange?,10
The footprints.,10
What about them?,10
There are none.,10
Look at where it's bent over.,11
It's not broken.,11
What kind of machine can bend a stalk of corn over without cracking it?,11
Can't be by hand... It's too perfect.,11
Doesn't sound much like Lionel Prichard and the Wolfington brothers.  They can't take a piss without wetting the front of their pants.,11
Second thing this week I can't explain.,11
What was the first thing?,11
Some animals around the county exhibiting uncharacteristic behavior.  Sometimes violent behavior.  Theo Henry had two of his fingers bit off by his cow.,11
Sounds like a virus.,11
"No Father, they're edgy.  On alert. Like they act when they smell a predator around... Peeing on themselves and everything.",11
"Edgar, please don't call me Father.",11
What's wrong?,11
I don't hear my children.,11
He wanted to kill Bo.,12
Did he hurt you?,12
I'm so sorry Morgan.,12
I used a little Tabasco in the potato salad.,12
Houdini's sick.,12
Please tie up Isabelle to the back of the shed.  Make sure the knot's tight.,12
"They're tough cookies, those two. They think Houdini's playing with you up there. At least it got them to sleep.",13
Okay Miss Puzzle Master.  I got one for you... What can make geometric shapes the size of a football field... and what would scare every animal in this county? Have you figured it out yet? You probably have... Give me a hint Colleen... Is it bigger than a bread box?,13
What's the matter?,15
I saw a monster.  Can I have a glass of water?,15
What's wrong with the water next to your bed?,15
It tastes old.,15
What's the rule about getting up in the middle of the night?,15
Only for pee or poop.,15
Right.,15
What are you thinking about?,16
Why do you talk to mom when you're by yourself?,16
It makes me feel better.,16
Does she ever answer back?,16
No.,16
