text,scene
Hi. Sara Matthews.,3
"Des Moines, Iowa. Wow. Flyover country.",3
You're in room three-sixteen. Welcome.,3
Told you we'd make it.,5
Sorry! Bad driver.,5
In case of emergency. I'm Tracy.,5
Sara.,5
"Hey. Yeah, it's amazing here. I met this really cool biker? He's taking me to Mexico this weekend. Hello? Hi, Mom. Just tell him I'm kidding.",7
"Everything's great. No, she's not here yet so I got to choose my side of the room.",7
Psi U.'s throwing a bash. Let's go.,9
Psi U.?,9
They're a frat. Beer... guys...,9
I don't know... I might just hang and wait for my roommate.,9
Alright. Just let me change.,9
"If you want beer, I'll need ID's.",11
For a frat party?! Seriously?,11
I don't drink anyway.,11
There's punch and non-alcoholic beer over there...,11
"Come on, just us. We won't tell.",11
"Honestly, I'm just a pledge.",11
Wuss.,11
You want something to drink?,11
What's the point?,11
Why aren't you dancing?,11
To this?,11
They're not that bad.,11
Crap.,12
Where's Tracy?,12
She was getting more punch.,12
Uh oh.,12
Tracy.,12
Tracy. Don't.,12
Damn!,12
Oh. Woops.,12
I have to go clean this up.,12
Looks like my plan backfired.,12
What plan?,12
To spill beer on you so I can start a conversation.,12
You spilled beer on me purposely?,12
You pissed?,12
I'll get over it.,12
I'm not sure how she's so wasted. All she's had is punch.,12
Come on.,12
It's pretty good.,13
It doesn't taste that strong.,13
Exactly.,13
Stephen. By the way.,13
Sara.,13
"Hey, why do you get to drink beer?",14
Twenty-one.,14
Old man.,14
Tell me about it. My back is killing me.,14
"Besides, frat brothers don't have to wear those ugly wristbands.",14
Ugh. You're in this frat?,14
Did you try the punch? It's pretty good.,14
What happened to Tracy?,14
I'm the worst roommate ever.,14
Do you want to look for your friend?,14
I got her.,15
Who's got you?,15
Guess that would be me.,15
Who's got you?,15
Apparently God.,15
Thanks Sara.,16
No problem.,16
You want us to wait?,16
"You know, I'm going to be pulling kitchen duty all week for helping girls leave a frat party. It's like opposite everything we stand for.",16
Does that make it worth it?,16
"Honestly, no.",16
Do you want to come up?,16
"More than I can tell you, but that wouldn't be fair.",16
Keep it... till next time.,16
"Thanks again. For everything. And, sorry about kitchen duty.",16
Ow!,18
Hi.,18
Who are you?!,18
Rebecca. Your roommate.,18
What are you doing?,18
Taking your picture.,18
Why?,18
Oh shit.,18
Rebecca?,20
Hey Sara.,22
We met last night.,22
"Right... Starts with a... ""T""?",22
Close. Rebecca.,22
"Come on. It'll help, trust me.",22
Thanks.,22
"I didn't throw up on you, did I?",22
No. You made it to the bathroom.,22
Did you do those?,22
